t_ns,delta_s
125389527191976,0.180706487
125390019124288,0.49193231200000004
125390077124126,0.057999838000000005
125390113375831,0.036251705
125390387225199,0.27384936800000004
125390501892235,0.11466703600000001
125390635848626,0.133956391
125390742558899,0.10671027300000001
125391446987509,0.70442861
125392161638253,0.7146507440000001
125392542743042,0.381104789
125392620215852,0.07747281
125392922867944,0.30265209200000004
125393520333746,0.597465802
125393552744830,0.032411084
125393630047109,0.077302279
125394119233240,0.489186131
125394465621369,0.34638812900000004
125394622618142,0.156996773
125394728468434,0.10585029200000001
125395028041097,0.299572663
125395151726355,0.123685258
125395939907783,0.788181428
125396233512767,0.293604984
125396312400828,0.07888806100000001
125396649281691,0.33688086300000003
125396984117518,0.33483582700000003
125396984449058,0.00033154
125397332703792,0.348254734
125397370353351,0.037649559
125399071677801,1.7013244500000002
125399590060552,0.5183827510000001
125399754525200,0.16446464800000002
125399796374344,0.041849144000000005
125399829668048,0.033293704
125400291120220,0.46145217200000005
125400322414420,0.0312942
125400528647795,0.20623337500000002
125400761468255,0.23282046
125400787748625,0.02628037
125400889893408,0.102144783
125401039745317,0.149851909
125401793405019,0.7536597020000001
125401828323333,0.034918314
125401917179227,0.088855894
125402404846838,0.48766761100000006
125402664967174,0.260120336
125403097745157,0.43277798300000003
125403749955071,0.6522099140000001
125404257622616,0.507667545
125404408261935,0.15063931900000002
125404615434859,0.207172924
125404650733190,0.035298331
125404766166181,0.11543299100000001
125404836116430,0.069950249
125405263519189,0.427402759
125405296819090,0.033299901
125405328732126,0.031913036
125405345761630,0.017029504
125406219517722,0.873756092
125406475297274,0.255779552
125406740856197,0.265558923
125406779425801,0.038569604
125406803268712,0.023842911
125407740348558,0.937079846
125408032079591,0.29173103300000003
125408140269491,0.1081899
