window_idx,window_t0_ns,window_t1_ns,cv,hist_entropy,hamming_norm,event_rate_hz,psd_peak_hz,psd_peak_power,psd_peak_snr_db,psd_peak_bandwidth_hz,psd_peak_q,psd_peak_hz_error_hz
0,125695959226549,125701407219661,1.0690830290103166,0.732899555840092,0.46510416666666665,2.9368612755323906,2.385321100917431,14.806100936935913,6.502513537248989,0.18348623853210988,13.000000000000014,1.314678899082569
1,125696453486261,125701427121757,1.1945759456986345,0.7614709844115206,0.45989583333333334,3.216962725327952,8.4,10.832477759649567,5.695796837858729,0.1999999999999993,42.00000000000015,4.7
2,125696457188354,125702713797615,1.0895431711971828,0.754711452455037,0.46328125,2.557295706435518,3.6507936507936507,24.32992989598263,8.514610660270233,0.1587301587301586,23.000000000000018,0.049206349206349476
3,125696546465336,125703475630663,0.9805881453799606,0.754711452455037,0.4635416666666667,2.309080422378555,0.7194244604316546,32.0244254254332,7.486350302995801,0.14388489208633093,5.0,2.9805755395683455
4,125697151742602,125705106679628,1.026476822947721,0.754711452455037,0.46015625,2.0113295614667255,0.75,35.35950462075678,8.035402210397095,0.25,3.0,2.95
5,125697684109459,125706527615599,1.0023644315757076,0.7179796190928575,0.46145833333333336,1.8092371675562606,9.265536723163843,38.622245836267695,8.165128988126744,0.22598870056497056,41.00000000000022,5.565536723163842
6,125697727290194,125707305601314,0.8967199298423457,0.6913129524261908,0.4588541666666667,1.6704406235657963,5.416666666666666,32.93674669910905,8.27352615527843,0.10416666666666696,51.999999999999844,1.716666666666666
7,125698157948977,125709443924113,0.9126910427740585,0.6649725915234711,0.4630208333333333,1.4176887514985925,1.3274336283185841,20.613756697498705,7.861582097308006,0.17699115044247793,7.499999999999998,2.3725663716814163
8,125698424177098,125709637169161,0.9238995324784656,0.6649725915234711,0.4630208333333333,1.4269161977556282,1.3333333333333335,19.34062911436071,7.644264289900976,0.1777777777777778,7.499999999999999,2.3666666666666667
9,125698535017628,125711088953025,0.8234023050159814,0.6186138415543778,0.4640625,1.2745007437128841,9.206349206349206,21.545519169411403,7.929552138726704,0.15873015873015817,58.0000000000002,5.506349206349205
10,125699816476797,125712323146928,0.8240280282359626,0.6186138415543778,0.46380208333333334,1.2793173428586049,1.3545816733067728,18.017022914596044,8.161183116439004,0.07968127490039834,17.000000000000014,2.3454183266932276
11,125700095233677,125714432121227,0.7760934834082701,0.6186138415543779,0.46119791666666665,1.1160023362253406,1.32404181184669,21.676094554541585,8.433646326879757,0.13937282229965153,9.500000000000002,2.3759581881533105
12,125700122201935,125714519279610,0.7673903952563391,0.6186138415543779,0.46067708333333335,1.1113366449208937,1.3194444444444444,23.018010961879757,8.817710490172592,0.13888888888888884,9.500000000000004,2.3805555555555555
